z,theta
136.3555,0.0982121712707
136.3605,0.0982121669315
136.3655,0.098212162675
136.3705,0.0982121584997
136.3755,0.0982121544041
136.3805,0.0982121503866
136.3855,0.0982121464458
136.3905,0.0982121425801
136.3955,0.0982121387883
136.4005,0.0982121350688
136.4055,0.0982121314203
136.4105,0.0982121278415
136.4155,0.0982121243311
136.4205,0.0982121208876
136.4255,0.09821211751
136.4305,0.0982121141968
136.4355,0.098212110947
136.4405,0.0982121077593
136.4455,0.0982121046324
136.4505,0.0982121015654
136.4555,0.098212098557
136.4605,0.0982120956061
136.4655,0.0982120927116
136.4705,0.0982120898725
136.4755,0.0982120870877
136.4805,0.0982120843562
136.4855,0.0982120816769
136.4905,0.098212079049
136.4955,0.0982120764713
136.5005,0.098212073943
136.5055,0.0982120714631
136.5105,0.0982120690307
136.5155,0.0982120666449
136.5205,0.0982120643048
136.5255,0.0982120620096
136.5305,0.0982120597583
136.5355,0.0982120575502
136.5405,0.0982120553845
136.5455,0.0982120532603
136.5505,0.0982120511769
136.5555,0.0982120491334
136.5605,0.0982120471291
136.5655,0.0982120451633
136.5705,0.0982120432353
136.5755,0.0982120413443
136.5805,0.0982120394896
136.5855,0.0982120376706
136.5905,0.0982120358865
136.5955,0.0982120341367
136.6005,0.0982120324205
136.6055,0.0982120307374
136.6105,0.0982120290866
136.6155,0.0982120274676
136.6205,0.0982120258797
136.6255,0.0982120243224
136.6305,0.0982120227951
136.6355,0.0982120212972
136.6405,0.0982120198281
136.6455,0.0982120183874
136.6505,0.0982120169744
136.6555,0.0982120155886
136.6605,0.0982120142296
136.6655,0.0982120128968
136.6705,0.0982120115896
136.6755,0.0982120103077
136.6805,0.0982120090506
136.6855,0.0982120078177
136.6905,0.0982120066086
136.6955,0.0982120054228
136.7005,0.0982120042599
136.7055,0.0982120031195
136.7105,0.0982120020012
136.7155,0.0982120009044
136.7205,0.0982119998289
136.7255,0.0982119987741
136.7305,0.0982119977397
136.7355,0.0982119967254
136.7405,0.0982119957306
136.7455,0.0982119947551
136.7505,0.0982119937985
136.7555,0.0982119928604
136.7605,0.0982119919404
136.7655,0.0982119910383
136.7705,0.0982119901536
136.7755,0.098211989286
136.7805,0.0982119884352
136.7855,0.098211987601
136.7905,0.0982119867828
136.7955,0.0982119859805
136.8005,0.0982119851938
136.8055,0.0982119844223
136.8105,0.0982119836657
136.8155,0.0982119829238
136.8205,0.0982119821963
136.8255,0.0982119814828
136.8305,0.0982119807832
136.8355,0.0982119800971
136.8405,0.0982119794243
136.8455,0.0982119787646
136.8505,0.0982119781176
136.8555,0.0982119774832
136.8605,0.098211976861
136.8655,0.0982119762509
136.8705,0.0982119756526
136.8755,0.0982119750659
136.8805,0.0982119744905
